Animaux | Chat, Chien, Lapin, Hamster, Cochon d'Inde, Perruche, Poisson rouge, Tortue, Furet
Animaux | Requin, Dauphin, Baleine, Orque, Phoque, Otarie, Méduse, Pieuvre, Raie, Espadon, Hippocampe, Étoile de mer, Crabe, Homard, Crevette, Murène, Narval, Lamantin, Calamar, Oursin
Animaux | Abeille, Guêpe, Frelon, Fourmi, Moustique, Mouche, Coccinelle, Papillon, Libellule, Sauterelle, Criquet, Grillon, Cafard, Puce, Punaise, Luciole, Cigale, Charançon, Éphémère, Taon
Animaux | Vache, Cochon, Mouton, Chèvre, Poule, Canard, Oie, Cheval, Âne, Dinde, Coq, Bélier, Taureau, Poney, Lama, Alpaga, Mulet, Oisillon, Pintade, Caille
Nourriture | Gâteau, Tarte, Éclair, Mille-feuille, Macaron, Tiramisu, Cheesecake, Crème brûlée, Profiterole, Paris-Brest, Baba au rhum, Clafoutis, Flan, Cookie, Brownie, Charlotte, Opéra, Fondant, Cannelé, Madeleine, Financier
Nourriture | Pomme, Poire, Pêche, Abricot, Prune, Cerise, Raisin, Figue, Nectarine, Coing, Mirabelle, Brugnon, Datte, Grenade, Kaki, Rhubarbe, Nèfle, Reine-claude
Objets | Chaise, Tabouret, Fauteuil, Canapé, Table, Bureau, Commode, Armoire, Étagère, Lit, Buffet, Bibliothèque, Table basse, Banc, Pouf, Transat, Chaise longue, Vaisselier, Secrétaire, Berceau
Objets | Frigo, Congélateur, Four, Micro-ondes, Lave-vaisselle, Machine à laver, Aspirateur, Grille-pain, Mixeur, Sèche-linge, Robot ménager, Bouilloire, Cafetière, Friteuse, Hotte, Centrifugeuse, Yaourtière, Gaufrier, Autocuiseur
Objets | Stylo, Crayon, Feutre, Marqueur, Gomme, Règle, Ciseaux, Colle, Agrafeuse, Surligneur, Compas, Équerre, Taille-crayon, Trombone, Punaise, Scotch, Perforatrice, Rapporteur, Correcteur, Pochette plastique
Lieux | Supermarché, Épicerie, Boulangerie, Boucherie, Pharmacie, Librairie, Fleuriste, Quincaillerie, Poissonnerie, Crémerie, Tabac, Opticien, Bijouterie, Animalerie, Droguerie, Papeterie, Cordonnerie, Pressing, Coiffeur, Kiosque
Métiers | Médecin, Infirmier, Chirurgien, Dentiste, Pharmacien, Vétérinaire, Kinésithérapeute, Sage-femme, Radiologue, Ophtalmologue, Psychiatre, Orthophoniste, Podologue, Anesthésiste, Urgentiste, Cardiologue, Dermatologue, Diététicien
Géographie | France, Espagne, Italie, Allemagne, Portugal, Grèce, Suède, Pologne, Belgique, Suisse, Autriche, Norvège, Irlande, Pays-Bas, Danemark, Croatie, Finlande, Hongrie, Roumanie, Écosse, Slovénie, Bulgarie
Couleurs | Rouge, Bleu, Vert, Jaune, Orange, Violet, Rose, Marron, Gris, Noir, Blanc, Turquoise, Beige, Bordeaux, Kaki, Indigo, Mauve, Corail, Ocre, Fuchsia, Lavande, Émeraude
Concepts | Joie, Tristesse, Colère, Peur, Jalousie, Honte, Fierté, Surprise, Dégoût, Ennui, Nostalgie, Soulagement, Impatience, Gratitude, Culpabilité, Espoir, Sérénité, Excitation, Déception, Admiration, Compassion
Vêtements | Manteau, Veste, Blouson, Imperméable, Doudoune, Trench, Parka, Cape, Poncho, Anorak, Pardessus, Duffle-coat, Coupe-vent, Caban, Gabardine
Nature | Rose, Tulipe, Marguerite, Tournesol, Orchidée, Lilas, Pivoine, Jonquille, Coquelicot, Muguet, Violette, Iris, Lavande, Hortensia, Camélia, Dahlia, Œillet, Glaïeul, Bleuet, Narcisse, Anémone
Sport | Échecs, Dames, Scrabble, Monopoly, Cluedo, Risk, Backgammon, Uno, Trivial Pursuit, Puissance 4, Jenga, Tarot, Belote, Poker, Solitaire, Dominos, Mikado, Bataille navale, Petits chevaux, Yams
Fiction | Dragon, Licorne, Sirène, Phénix, Griffon, Centaure, Minotaure, Yéti, Kraken, Chimère, Hydre, Cyclope, Pégase, Sphinx, Harpie, Gorgone, Chupacabra, Léviathan
Corps | Bras, Jambe, Main, Pied, Doigt, Orteil, Coude, Genou, Épaule, Cheville, Poignet, Hanche, Talon, Mollet, Cuisse, Nuque, Dos, Ventre, Poitrine, Côte, Colonne vertébrale, Paume
Transport | Voiture, Camion, Bus, Moto, Scooter, Camionnette, Taxi, Caravane, Tracteur, Quad, Buggy, Limousine, Bulldozer, Grue mobile, Autocar, Fourgonnette, Monospace, Cabriolet, Berline, Break
Matériaux | Bois, Métal, Plastique, Verre, Béton, Tissu, Cuir, Caoutchouc, Carton, Papier, Marbre, Céramique, Laine, Soie, Velours, Lin, Coton, Acier, Aluminium, Liège, Bambou, Porcelaine
Musique | Rock, Jazz, Rap, Reggae, Blues, Métal, Électro, Classique, Country, Funk, Soul, Disco, Punk, Techno, Gospel, Opéra, K-pop, Folk, Grunge, Bossa nova, Flamenco, Variété
Numérique | Ordinateur, Tablette, Téléphone, Console, Clavier, Souris, Écran, Imprimante, Casque, Webcam, Enceinte, Disque dur, Clé USB, Chargeur, Routeur, Montre connectée, Scanner, Manette, Tapis de souris, Micro-casque
